metric,true_relative_effect,n_total,estimator,replications,power,power_lo,power_hi,mean_se,effective_variance
revenue_p10,0.05,117428,diff_in_means,1500,0.37866666666666665,0.3544593046552054,0.40349390386622525,0.5094155958983012,7618.266248004175
revenue_p10,0.05,167752,diff_in_means,1500,0.5106666666666667,0.4853744676936894,0.5359043711176136,0.42613163761279294,7615.444781431926
revenue_p10,0.05,234854,diff_in_means,1500,0.6393333333333333,0.6147051435988224,0.6632496883738204,0.36042766448473806,7627.359307199576
revenue_p10,0.05,335506,diff_in_means,1500,0.7946666666666666,0.7734841544283532,0.8143437677338864,0.30194983796501185,7647.331237832224
revenue_p10,0.05,469708,diff_in_means,1500,0.9093333333333333,0.8937379268859743,0.9228375124977705,0.2551717501589644,7645.979872892922
revenue_p10,0.05,637462,diff_in_means,1500,0.9666666666666667,0.9563241640542839,0.9746250339402134,0.21873200176036162,7624.633354642221
revenue_p10,0.05,117428,lin_adjusted,1500,0.47733333333333333,0.4521464595955274,0.502636007930454,0.44079274122843043,5704.0134528074705
revenue_p10,0.05,167752,lin_adjusted,1500,0.628,0.6032422573043712,0.6521038084312623,0.36896919235516235,5709.366553679025
revenue_p10,0.05,234854,lin_adjusted,1500,0.7726666666666666,0.7507763325924692,0.7931639845214584,0.3119540655689831,5713.724157845359
revenue_p10,0.05,335506,lin_adjusted,1500,0.894,0.8774024989848888,0.9085846096076082,0.2613182294234065,5727.692759131585
revenue_p10,0.05,469708,lin_adjusted,1500,0.9613333333333334,0.9503395495763649,0.969970229012481,0.22083766336074465,5726.829486169665
revenue_p10,0.05,637462,lin_adjusted,1500,0.9953333333333333,0.9903984313813807,0.9977376459184928,0.18933257064691744,5712.746760488917
revenue_p10,0.05,117428,post_stratified,1500,0.4106666666666667,0.3860297411040679,0.4357599838512712,0.4832080060211531,6854.565257223832
revenue_p10,0.05,167752,post_stratified,1500,0.5593333333333333,0.5340891834924629,0.5842743573954089,0.40420744783415824,6851.983970178513
revenue_p10,0.05,234854,post_stratified,1500,0.6853333333333333,0.6613845828685613,0.7083352414778249,0.34192513972030325,6864.359751656192
revenue_p10,0.05,335506,post_stratified,1500,0.8353333333333334,0.8157124288112625,0.8532410663190693,0.28647462298670556,6883.552245554009
revenue_p10,0.05,469708,post_stratified,1500,0.9346666666666666,0.9210176466028215,0.9460950349577675,0.24209557218024794,6882.427713717535
revenue_p10,0.05,637462,post_stratified,1500,0.9793333333333333,0.9708150932498304,0.985402725833089,0.20750228216401964,6861.831744962198
revenue_p10,0.075,52190,cuped,1500,0.488,0.46276722541945475,0.5132940809178296,0.6605937081399151,5693.7208562861815
revenue_p10,0.075,74556,cuped,1500,0.6286666666666667,0.6039161453061953,0.6527598478551447,0.5534709800592218,5709.68721418445
revenue_p10,0.075,104380,cuped,1500,0.7613333333333333,0.739111235690927,0.7822203151859916,0.47071906457696816,5782.037143248454
revenue_p10,0.075,149114,cuped,1500,0.9093333333333333,0.8937379268859743,0.9228375124977705,0.3925862057538625,5745.508885295998
revenue_p10,0.075,208760,cuped,1500,0.968,0.9578292713813557,0.9757797814645544,0.33207248235085435,5755.102649173826
revenue_p10,0.075,283316,cuped,1500,0.9893333333333333,0.9827430427895784,0.9934236876789372,0.2858923992883916,5789.170348592974
revenue_p10,0.075,52190,cuped_plus_strata,1500,0.49533333333333335,0.4700756637418152,0.5206148442782399,0.6530569457906927,5564.541828077241
revenue_p10,0.075,74556,cuped_plus_strata,1500,0.632,0.6072863311326053,0.6560392991572668,0.5472734752468363,5582.534396794384
